Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
Sr. Software Developer- Short-term Contract,ApplyBoard,"Kitchener, ON",77458.0,98079.0,2023-10-04
"Chief Architect, Cloud & Cybersecurity","Canon Medical Informatics, Inc.","Waterloo, ON",77166.0,97710.0,2023-10-04
Lead Network Administrator,Open Text Corporation,"Waterloo, ON",91271.0,115569.0,2023-10-04
Sr. Principal Software Architect,opentext,"Waterloo, ON",111782.0,141540.0,2023-10-04
computer numerical control (CNC) Mastercam programmer,HJ Machine & Pattern 2016 Ltd,"Waterloo, ON",,,2023-10-04
Senior Controls System Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",71279.0,90255.0,2023-10-04
Senior ASP.NET Application Developer,RKD Web Studios,"Guelph, ON",72638.0,91976.0,2023-10-04
"Senior .Net Full Stack Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,,2023-10-04
CNC Lathe Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",,,2023-10-04
Controls System Software Designer- Senior,ATS Automation Tooling Systems,"Cambridge, ON",73339.0,92863.0,2023-10-04
Electrical/Controls Developer,ISN Technologies,"Waterloo, ON",75447.0,95532.0,2023-10-04
Senior/Intermediate Unix/Linux Developer,BicDroid Inc.,"Waterloo, ON",74269.0,94042.0,2023-10-04
CNC Programming Specialist,In-House Solutions,"Kitchener, ON",75093.0,95084.0,2023-10-04
Sr. Site Reliability Administrator,opentext,"Waterloo, ON",97291.0,123192.0,2023-10-04
Senior Software Architect,Dejero Labs Inc.,"Waterloo, ON",97782.0,123813.0,2023-10-04
Monitoring Tools Specialist (Sitescope+),opentext,"Waterloo, ON",58861.0,74531.0,2023-10-04
Lead Embedded Software Developer,Molex,"Waterloo, ON",102585.0,129896.0,2023-10-04
"Sr. Director, IT PMO",opentext,"Waterloo, ON",108651.0,137576.0,2023-10-04
Lead Software Engineer,Sun Life,"Waterloo, ON",,,2023-10-04
Business Development Specialist,BicDroid Inc.,"Waterloo, ON",64477.0,81642.0,2023-10-04
Senior Perception Developer - Calibration and Sensors,Clearpath Inc.,"Kitchener, ON",99139.0,125532.0,2023-10-04
Staff Perception Developer - Localization and Mapping,Clearpath Inc.,"Kitchener, ON",99096.0,125478.0,2023-10-04
"Advisor, Business Development (University of Waterloo)",Mitacs,"Waterloo, ON",83063.0,105177.0,2023-10-04
Sr. Systems Analyst - IAM,Open Text Corporation,"Waterloo, ON",73009.0,92446.0,2023-10-04
Sr. Software Engineer-Zuora Administrator,Open Text Corporation,"Waterloo, ON",85653.0,108456.0,2023-10-04
Lead Systems Analyst,Open Text Corporation,"Waterloo, ON",92034.0,116535.0,2023-10-04
Monitoring Tools Specialist (Sitescope+),Open Text Corporation,"Waterloo, ON",58861.0,74531.0,2023-10-04
Lead Privacy Analyst,opentext,"Waterloo, ON",76506.0,96874.0,2023-10-04
Application Developer,Stantec,"Waterloo, ON",94215.0,119297.0,2023-10-04
"Sr. Director, IT PMO",Open Text Corporation,"Waterloo, ON",108651.0,137576.0,2023-10-04
Lead Site Reliability Engineer,Open Text Corporation,"Waterloo, ON",99945.0,126552.0,2023-10-04
"Senior Software Engineer - Risk Controls, Health",Cash App,"Kitchener, ON",141237.0,178838.0,2023-10-04
Lead Network Administrator,opentext,"Waterloo, ON",91271.0,115569.0,2023-10-04
