Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
Staff DevOps Engineer,Mappedin,"Kitchener, ON",75992.0,96223.0,2023-10-04,2023-10-11
Software Engineer,BicDroid Inc.,"Waterloo, ON",75103.0,95098.0,2023-10-04,2023-11-22
Senior Software Engineer,Sun Life,"Waterloo, ON",,,2023-10-04,2023-10-18
Vulkan Graphics Engineer - Global Remote,CoreAVI,"Waterloo, ON",99086.0,125465.0,2023-10-04,2023-11-22
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital,"Kitchener, ON",87719.0,111071.0,2023-10-04,2023-11-01
"Product Developer, Software - Advanced Research",Christie Digital,"Kitchener, ON",78402.0,99275.0,2023-10-04,2023-11-22
IT Software Developer - (Salesforce),Open Text Corporation,"Waterloo, ON",92295.0,116867.0,2023-10-04,2023-11-15
Sr. Software Developer,opentext,"Waterloo, ON",95129.0,120454.0,2023-10-04,2023-11-08
IT Software Developer - (Salesforce),opentext,"Waterloo, ON",92295.0,116867.0,2023-10-04,2023-11-15
Machine Learning Engineer,Equitable Life of Canada,"Waterloo, ON",79985.0,101279.0,2023-10-04,2023-10-11
Senior Software Developer,Geotab,"Waterloo, ON",93651.0,118584.0,2023-10-04,2023-11-22
Fullstack Senior Software Developer,Geotab,"Waterloo, ON",89815.0,113725.0,2023-10-04,2023-11-22
"Senior Staff Software Developer, Precision Health Platform",Verily,"Waterloo, ON",110286.0,139646.0,2023-10-04,2023-11-22
Principal Cloud Engineer,BMO Financial Group,Various locations,112974.0,143051.0,2023-10-04,2023-10-25
"Lead Technology Specialist, Digital Developer",Equitable Life of Canada,"Waterloo, ON",100782.0,127613.0,2023-10-04,2023-10-25
Jr. Web Development Training & Internship,Prepr,"Guelph, ON",,,2023-10-04,2023-10-11
Control Systems Developer (B&R Automation Specialist),ATS Automation Tooling Systems,"Cambridge, ON",69842.0,88436.0,2023-10-11,2023-11-22
